Expense,Label
I spent Rs 110 on a chicken burger today.,Food
Today's snack was Rs 10 for a banana.,Food
Dinner cost me Rs 300 for a delicious pizza.,Food
Chicken Biryani set me back Rs 200.,Food
I indulged in Rs 100 worth of chicken biryani.,Food
Burger and fries totaled Rs 150 for lunch.,Food
Ice cream in the evening cost Rs 50.,Food
Sushi dinner expense was Rs 250.,Food
Grabbed a quick sandwich for Rs 80 during break.,Food
Coffee from the cafe cost Rs 30.,Food
I spent Rs 110 on a chicken burger.,Food
A banana today's snack cost me Rs 10.,Food
I splurged Rs 300 on a pizza for dinner.,Food
Enjoyed Chicken Biryani for Rs 200.,Food
Treat yourself with Rs 100 worth of chicken biryani.,Food
"Lunch comprised a burger and fries, totaling Rs 150.",Food
Indulged in Rs 50 worth of ice cream in the evening.,Food
Sushi for dinner set me back by Rs 250.,Food
"During the break, grabbed a sandwich for Rs 80.",Food
A cup of coffee from the cafe was Rs 30.,Food
Today's breakfast included a Rs 90 omelette.,Food
"Splurged on a fancy dinner, spending Rs 500.",Food
"Snacked on a bag of chips, costing Rs 20.",Food
Enjoyed a refreshing juice for Rs 40.,Food
"Had a simple lunch of dal and rice, spending Rs 70.",Food
Had a hearty breakfast with pancakes for Rs 80.,Food
"Snacked on a pack of cookies, spending Rs 50.",Food
Satisfy your cravings with a chocolate milkshake for Rs 60.,Food
A healthy salad for lunch cost me Rs 120.,Food
Indulged in a cheesy pasta dish for Rs 180.,Food
Enjoyed a refreshing smoothie for Rs 70.,Food
A decadent slice of cheesecake was Rs 200.,Food
Snacked on a fresh fruit salad for Rs 90.,Food
Delighted in a cup of hot cocoa for Rs 40.,Food
Treated myself to a gourmet burger for Rs 250.,Food
"Took a bus ride today, costing Rs 110.",Travel
Just spent Rs 10 on the metro.,Travel
Hopped into a taxi; the ride cost me Rs 300.,Travel
"Used the bus again; this time, it was Rs 200.",Travel
Spent Rs 100 for the metro.,Travel
Combining bus and metro set me back Rs 150 for travel.,Travel
Had a trip to Goa expenses totaled Rs 5000.,Travel
Opted for a plane to London the cost was Rs 25000.,Travel
Traveled by train to Paris spent Rs 4800.,Travel
Quick auto-rickshaw ride in the city just Rs 50.,Travel
Took the scooter for a short ride expenses were Rs 20.,Travel
Weekend getaway to the Hill Station spent Rs 800 on travel.,Travel
Went on a cruise vacation to Maldives expenses reached Rs 15000.,Travel
Took a bicycle ride around the city cost me only Rs 5.,Travel
Post-shopping rickshaw ride spent Rs 30.,Travel
Enjoyed a road trip to the Mountains expenses were Rs 2500 for fuel and tolls.,Travel
Rented an electric scooter for the day cost Rs 100.,Travel
"Took a bus ride today, costing Rs 110.",Travel
Just spent Rs 10 on the metro.,Travel
Hopped into a taxi; the ride cost me Rs 300.,Travel
"Used the bus again; this time, it was Rs 200.",Travel
Spent Rs 100 for the metro.,Travel
Combining bus and metro set me back Rs 150 for travel.,Travel
Had a trip to Goa expenses totaled Rs 5000.,Travel
Opted for a plane to London the cost was Rs 25000.,Travel
Traveled by train to Paris spent Rs 4800.,Travel
Quick auto-rickshaw ride in the city just Rs 50.,Travel
Took the scooter for a short ride expenses were Rs 20.,Travel
Weekend getaway to the Hill Station spent Rs 800 on travel.,Travel
Went on a cruise vacation to Maldives expenses reached Rs 15000.,Travel
Took a bicycle ride around the city cost me only Rs 5.,Travel
Post-shopping rickshaw ride spent Rs 30.,Travel
Enjoyed a road trip to the Mountains expenses were Rs 2500 for fuel and tolls.,Travel
Rented an electric scooter for the day cost Rs 100.,Travel
Rs 110 bus ride.,Travel
Rs 10 spent on the metro.,Travel
Rs 300 taxi ride.,Travel
I bought a shirt yesterday for Rs 700.,Clothing
Just purchased a pair of jeans for Rs 450.,Clothing
Bought a dress for the upcoming event at Rs 800.,Clothing
"Got myself a hoodie to stay warm this winter, spending Rs 300.",Clothing
Spent Rs 2500 on a set of formal suits.,Clothing
"Purchased a tie to match with my new shirt, costing Rs 150.",Clothing
"Just got a skirt for the summer season, priced at Rs 350.",Clothing
"Bought a jacket for outdoor activities, spending Rs 600.",Clothing
"Splurged on a saree for the family function, priced at Rs 2000.",Clothing
Just picked up a pair of socks for Rs 100.,Clothing
"Invested in a leather jacket for the winter, spending Rs 1200.",Clothing
"Bought some underwear from the local store, costing Rs 50.",Clothing
"Just grabbed a pair of sneakers for jogging, priced at Rs 700.",Clothing
"Splurged on a pair of boots for the hiking trip, spending Rs 900.",Clothing
"Got a t-shirt for casual wear, priced at Rs 180.",Clothing
"Just got a kurta for the festive season, costing Rs 400.",Clothing
"Snagged a sweatshirt for those chilly evenings, priced at Rs 550.",Clothing
"Scored a killer deal on a coat for the winter season, spending Rs 1200.",Clothing
"Splurged on a suit for the upcoming wedding, priced at Rs 2000.",Clothing
"Just invested in a coatsuit for a stylish ensemble, costing Rs 1800.",Clothing
"Snagged a pair of cargo pants for a rugged look, priced at Rs 400.",Clothing
"Added a leather coat to my collection, spending Rs 650.",Clothing
"Couldn't resist buying a denim jacket for the cool vibes, priced at Rs 300.",Clothing
Spent Rs 700 on a sleek blazer for formal occasions.,Clothing
"Spent Rs 10,000 on clothing.",Clothing
"Just grabbed a pair of shorts for the summer heat, priced at Rs 250.",Clothing
"Got myself a woolen sweater for the mountain getaway, costing Rs 900.",Clothing
"Invested in a cashmere scarf to stay cozy, spending Rs 1500.",Clothing
"Added a beanie to my winter accessories, priced at Rs 350.",Clothing
"Just got a pair of sandals for casual outings, costing Rs 200.",Clothing
Just paid the electricity bill and the total amount was Rs 1500.,Bills
"Took care of the water bill today, it came out to Rs 700.",Bills
Paid the internet bill for this month and the total was Rs 1200.,Bills
"Just settled the phone bill, it was Rs 800 this time.",Bills
Covered the gas bill which came to Rs 1000.,Bills
Paid the cable TV bill and the total amount due was Rs 600.,Bills
Took care of the garbage collection bill it was Rs 300 this time.,Bills
Just handled the home insurance premium it came to Rs 2500.,Bills
Covered the property tax total amount due was Rs 1800.,Bills
Paid the car insurance premium came out to Rs 3500.,Bills
"Paid the rent for the month total was Rs 15,000.",Bills
Just handled the bills which came out to Rs 7000.,Bills
Settled the health insurance premium it came to Rs 2000.,Bills
"Covered the car loan installment total amount due was Rs 12,500.",Bills
"Paid the mortgage for the house it was Rs 25,000 this month.",Bills
Just handled the bill it came out to Rs 3000.,Bills
Covered the car registration renewal total amount due was Rs 4000.,Bills
Settled the credit card bill total amount due was Rs 7000.,Bills
Paid the medical bills for last month's treatment - total was Rs 5000.,Bills
Covered the life insurance premium - total amount due was Rs 3000.,Bills
Paid the property tax it was Rs 2000 this quarter.,Bills
"Paid the income tax for the fiscal year total was Rs 50,000.",Bills
"Settled the property tax for the house it came to Rs 15,000 this quarter.",Bills
"Covered the sales tax for the business total amount due was Rs 10,000.",Bills
Paid the vehicle tax for the car it was Rs 5000 this year.,Bills
"Just handled the excise tax for the manufacturing unit - it came out to Rs 20,000.",Bills
Covered the property assessment tax total amount due was Rs 8000.,Bills
"Settled the goods and services tax it was Rs 30,000 this quarter.",Bills
"Paid the import duty for the imported goods total was Rs 25,000.",Bills
"Paid my taxes which was Rs 80,000 this year.",Bills
"Covered the property transfer tax for the real estate transaction - it came to Rs 12,000.",Bills
"Just handled the value added tax for the business it was Rs 18,000 this month.",Bills
"Paid the professional tax for the employees total amount due was Rs 5,000.",Bills
Covered the local body tax it came out to Rs 3000 this quarter.,Bills
"Settled the customs duty for the imported goods total amount due was Rs 15,000.",Bills
Just filled up the car with petrol for a total of Rs 2000.,Fuel
Topped up the bike with petrol for Rs 500.,Fuel
Filled up the car with diesel for a total of Rs 500.,Fuel
Got my 4-wheeler filled with petrol for Rs 1500.,Fuel
Refueled the scooter with petrol spending Rs 300.,Fuel
Filled up the truck with diesel for Rs 1000.,Fuel
Refueled the motorcycle with petrol at an expense of Rs 400.,Fuel
Just refueled my van with diesel for Rs 800.,Fuel
Topped up the scooty with petrol for Rs 200.,Fuel
Just filled the RV with propane for a total of Rs 1000.,Fuel
Filled up the moped with gasoline for a total of Rs 150.,Fuel
Topped up the minivan with diesel for Rs 700.,Fuel
Refueled the camper with propane at an expense of Rs 800.,Fuel
Just filled up the SUV with petrol for Rs 1200.,Fuel
Topped up the convertible with premium petrol for Rs 1000.,Fuel
Got my sedan filled with diesel for Rs 600.,Fuel
Fueled up the ATV with regular petrol spending Rs 250.,Fuel
Just refueled the pickup truck with petrol for Rs 900.,Fuel
Topped up the crossover with unleaded petrol for Rs 850.,Fuel
Filled the hatchback with diesel at an expense of Rs 550.,Fuel
Filled up the auto-rickshaw with petrol for Rs 200.,Fuel
Topped up the auto with petrol for Rs 350.,Fuel
Topped up the bus with diesel for Rs 1500.,Fuel
Refueled the motorbike with petrol at an expense of Rs 300.,Fuel
Just filled up the cycle rickshaw with petrol for Rs 100.,Fuel
Topped up the truck with diesel for Rs 1200.,Fuel
Got my scooter filled with petrol for Rs 150.,Fuel
Fueled up the city bus with diesel spending Rs 2000.,Fuel
Just refueled the motorcycle with petrol for Rs 250.,Fuel
Topped up the tempo with diesel for Rs 800.,Fuel
Renewed my Netflix subscription for Rs 2000 this month.,Subscriptions
Renewed my Amazon Prime membership for Rs 1500 this year.,Subscriptions
Subscribed to HBO Max for Rs 500 per month.,Subscriptions
Renewed my Spotify Premium subscription for Rs 250 this month.,Subscriptions
Subscribed to Apple Music for Rs 200 per month.,Subscriptions
Renewed my Disney Plus subscription for Rs 300 this month.,Subscriptions
Subscribed to YouTube Premium for Rs 400 per month.,Subscriptions
Renewed my Audible membership for Rs 1000 this year.,Subscriptions
Subscribed to Kindle Unlimited for Rs 300 per month.,Subscriptions
Renewed my PlayStation Plus subscription for Rs 600 this month.,Subscriptions
Subscribed to LinkedIn Premium for Rs 700 per month.,Subscriptions
Renewed my Prime Video membership for Rs 1000 this year.,Subscriptions
Renewed my Amazon membership for Rs 500 this month.,Subscriptions
Renewed my Sony Liv subscription for Rs 300 this month.,Subscriptions
Subscribed to Zee5 for Rs 250 per month.,Subscriptions
Renewed my Hotstar subscription for Rs 500 this month.,Subscriptions
Subscribed to Voot for Rs 150 per month.,Subscriptions
Renewed my ALT Balaji subscription for Rs 100 this month.,Subscriptions
Subscribed to Gaana Plus for Rs 99 per month.,Subscriptions
Renewed my Eros Now subscription for Rs 200 this month.,Subscriptions
Subscribed to JioSaavn Pro for Rs 299 per month.,Subscriptions
Renewed my Sunnxt subscription for Rs 150 this month.,Subscriptions
Subscribed to Letterboxd for Rs 399 per month.,Subscriptions
Renewed my Aha subscription for Rs 249 this month.,Subscriptions
Subscribed to MX Player for Rs 49 per month.,Subscriptions
Renewed my Apple TV Plus subscription for Rs 499 this month.,Subscriptions
Renewed my Paramount Plus subscription for Rs 599 this month.,Subscriptions
Subscribed to Wynk Music for Rs 49 per month.,Subscriptions
Renewed my Blinkit membership for Rs 299 this month.,Subscriptions
Renewed my Zomato Gold membership for Rs 1500 this year.,Subscriptions
Subscribed to Swiggy One for Rs 149 per month.,Subscriptions
Renewed my Dineout Plus membership for Rs 999 this year.,Subscriptions
Subscribed to Uber Eats for Rs 249 per month.,Subscriptions
Renewed my Foodpanda membership for Rs 299 this year.,Subscriptions
Renewed my Flipkart membership for Rs 999 this year.,Subscriptions
Subscribed to Myntra for Rs 149 per month.,Subscriptions
Renewed my Big Basket membership for Rs 299 this month.,Subscriptions
Subscribed to Grofers for Rs 99 per month.,Subscriptions
Renewed my Ola membership for Rs 299 this month.,Subscriptions
Subscribed to Rapido for Rs 99 per month.,Subscriptions
